2023-03-10 06:27:57 status config-files libraspberrypi-doc:all 1:2+git20220616~133208+6e8f786-1
2023-03-10 06:27:57 status not-installed libraspberrypi-doc:all <none>
2023-03-10 06:27:57 status installed libraspberrypi-dev:arm64 1:2+git20220616~133208+6e8f786-1
2023-03-10 06:27:57 remove libraspberrypi-dev:arm64 1:2+git20220616~133208+6e8f786-1 <none>
2023-03-10 06:27:57 status half-configured libraspberrypi-dev:arm64 1:2+git20220616~133208+6e8f786-1
2023-03-10 06:27:57 status half-installed libraspberrypi-dev:arm64 1:2+git20220616~133208+6e8f786-1
2023-03-10 06:27:57 status config-files libraspberrypi-dev:arm64 1:2+git20220616~133208+6e8f786-1
2023-03-10 06:27:57 status not-installed libraspberrypi-dev:arm64 <none>
2023-03-10 06:27:57 status installed libtext-wrapi18n-perl:all 0.06-9
2023-03-10 06:27:57 remove libtext-wrapi18n-perl:all 0.06-9 <none>
2023-03-10 06:27:57 status half-configured libtext-wrapi18n-perl:all 0.06-9
2023-03-10 06:27:57 status half-installed libtext-wrapi18n-perl:all 0.06-9
2023-03-10 06:27:57 status config-files libtext-wrapi18n-perl:all 0.06-9
2023-03-10 06:27:58 status not-installed libtext-wrapi18n-perl:all <none>
2023-03-10 06:27:58 status installed libtext-charwidth-perl:arm64 0.04-10+b1
2023-03-10 06:27:58 remove libtext-charwidth-perl:arm64 0.04-10+b1 <none>
2023-03-10 06:27:58 status half-configured libtext-charwidth-perl:arm64 0.04-10+b1
2023-03-10 06:27:58 status half-installed libtext-charwidth-perl:arm64 0.04-10+b1
2023-03-10 06:27:58 status config-files libtext-charwidth-perl:arm64 0.04-10+b1
2023-03-10 06:27:58 status not-installed libtext-charwidth-perl:arm64 <none>
2023-03-10 06:27:58 status installed libtext-iconv-perl:arm64 1.7-7+b1
2023-03-10 06:27:58 remove libtext-iconv-perl:arm64 1.7-7+b1 <none>
2023-03-10 06:27:58 status half-configured libtext-iconv-perl:arm64 1.7-7+b1
2023-03-10 06:27:58 status half-installed libtext-iconv-perl:arm64 1.7-7+b1
2023-03-10 06:27:58 status config-files libtext-iconv-perl:arm64 1.7-7+b1
2023-03-10 06:27:58 status not-installed libtext-iconv-perl:arm64 <none>
2023-03-10 06:27:58 status installed luajit:arm64 2.1.0~beta3+dfsg-5.3
2023-03-10 06:27:58 remove luajit:arm64 2.1.0~beta3+dfsg-5.3 <none>
2023-03-10 06:27:58 status half-configured luajit:arm64 2.1.0~beta3+dfsg-5.3
2023-03-10 06:27:58 status half-installed luajit:arm64 2.1.0~beta3+dfsg-5.3
2023-03-10 06:27:58 status config-files luajit:arm64 2.1.0~beta3+dfsg-5.3
2023-03-10 06:27:58 status not-installed luajit:arm64 <none>
2023-03-10 06:27:58 status installed manpages-dev:all 5.10-1
2023-03-10 06:27:58 remove manpages-dev:all 5.10-1 <none>
2023-03-10 06:27:58 status half-configured manpages-dev:all 5.10-1
2023-03-10 06:27:58 status half-installed manpages-dev:all 5.10-1
2023-03-10 06:27:58 status config-files manpages-dev:all 5.10-1
2023-03-10 06:27:58 status not-installed manpages-dev:all <none>
2023-03-10 06:27:58 status installed manpages:all 5.10-1
2023-03-10 06:27:58 remove manpages:all 5.10-1 <none>
2023-03-10 06:27:58 status half-configured manpages:all 5.10-1
2023-03-10 06:27:58 status half-installed manpages:all 5.10-1
2023-03-10 06:27:58 status config-files manpages:all 5.10-1
2023-03-10 06:27:58 status not-installed manpages:all <none>
2023-03-10 06:27:58 status installed mkvtoolnix:arm64 54.0.0+really52.0.0-3
2023-03-10 06:27:58 remove mkvtoolnix:arm64 54.0.0+really52.0.0-3 <none>
2023-03-10 06:27:58 status half-configured mkvtoolnix:arm64 54.0.0+really52.0.0-3
2023-03-10 06:27:58 status half-installed mkvtoolnix:arm64 54.0.0+really52.0.0-3
2023-03-10 06:27:58 status config-files mkvtoolnix:arm64 54.0.0+really52.0.0-3
2023-03-10 06:27:58 status not-installed mkvtoolnix:arm64 <none>
2023-03-10 06:27:58 status installed ncdu:arm64 1.15.1-1
2023-03-10 06:27:58 remove ncdu:arm64 1.15.1-1 <none>
2023-03-10 06:27:58 status half-configured ncdu:arm64 1.15.1-1
2023-03-10 06:27:58 status half-installed ncdu:arm64 1.15.1-1
2023-03-10 06:27:58 status config-files ncdu:arm64 1.15.1-1
2023-03-10 06:27:58 status not-installed ncdu:arm64 <none>
2023-03-10 06:27:58 status installed tasksel:all 3.68+deb11u1
2023-03-10 06:27:58 status installed tasksel-data:all 3.68+deb11u1
2023-03-10 06:27:58 status installed userconf-pi:all 0.5
2023-03-10 06:27:58 remove userconf-pi:all 0.5 <none>
2023-03-10 06:27:58 status half-configured userconf-pi:all 0.5
2023-03-10 06:27:58 status half-installed userconf-pi:all 0.5
2023-03-10 06:27:58 status config-files userconf-pi:all 0.5
2023-03-10 06:27:58 status installed v4l-utils:arm64 1.20.0-2
2023-03-10 06:27:58 remove v4l-utils:arm64 1.20.0-2 <none>
2023-03-10 06:27:58 status half-configured v4l-utils:arm64 1.20.0-2
2023-03-10 06:27:58 status half-installed v4l-utils:arm64 1.20.0-2
2023-03-10 06:27:58 status config-files v4l-utils:arm64 1.20.0-2
2023-03-10 06:27:58 status not-installed v4l-utils:arm64 <none>
2023-03-10 06:27:58 status installed vim-tiny:arm64 2:8.2.2434-3+deb11u1
2023-03-10 06:27:58 remove vim-tiny:arm64 2:8.2.2434-3+deb11u1 <none>
2023-03-10 06:27:58 status half-configured vim-tiny:arm64 2:8.2.2434-3+deb11u1
2023-03-10 06:27:58 status half-installed vim-tiny:arm64 2:8.2.2434-3+deb11u1
2023-03-10 06:27:58 status config-files vim-tiny:arm64 2:8.2.2434-3+deb11u1
2023-03-10 06:27:58 status installed vim-common:all 2:8.2.2434-3+deb11u1
2023-03-10 06:27:58 remove vim-common:all 2:8.2.2434-3+deb11u1 <none>
2023-03-10 06:27:58 status half-configured vim-common:all 2:8.2.2434-3+deb11u1
2023-03-10 06:27:58 status half-installed vim-common:all 2:8.2.2434-3+deb11u1
2023-03-10 06:27:59 status config-files vim-common:all 2:8.2.2434-3+deb11u1
2023-03-10 06:27:59 status installed zlib1g-dev:arm64 1:1.2.11.dfsg-2+deb11u2
2023-03-10 06:27:59 remove zlib1g-dev:arm64 1:1.2.11.dfsg-2+deb11u2 <none>
2023-03-10 06:27:59 status half-configured zlib1g-dev:arm64 1:1.2.11.dfsg-2+deb11u2
2023-03-10 06:27:59 status half-installed zlib1g-dev:arm64 1:1.2.11.dfsg-2+deb11u2
2023-03-10 06:27:59 status config-files zlib1g-dev:arm64 1:1.2.11.dfsg-2+deb11u2
2023-03-10 06:27:59 status not-installed zlib1g-dev:arm64 <none>
2023-03-10 06:27:59 remove tasksel-data:all 3.68+deb11u1 <none>
2023-03-10 06:27:59 status half-configured tasksel-data:all 3.68+deb11u1
2023-03-10 06:27:59 status half-installed tasksel-data:all 3.68+deb11u1
2023-03-10 06:27:59 status config-files tasksel-data:all 3.68+deb11u1
